Cycle,Tem,电压(V),电流(A),放电容量(Ah)
16050,24.3,3.9,12.9912,11.992
16080,24.3,3.9002,12.9954,11.989
16110,24.8,3.9003,12.99,11.9862
16140,25.4,3.9001,12.9915,11.9843
16170,25.3,3.9001,13.0008,11.9835
16200,25.1,3.9001,12.991,11.9824
16230,25.0,3.9002,12.99,11.9817
16260,24.9,3.9001,13.0003,11.9774
16290,24.7,3.9002,12.9897,11.9695
16320,24.7,3.9001,12.9898,11.9673
16350,24.5,3.9,12.9985,11.9637
16380,24.2,3.9002,12.9941,11.9608
16410,24.5,3.9,12.9901,11.9593
16440,24.4,3.9,12.99,11.9607
16470,24.2,3.9002,13.007,11.9581
16500,24.1,3.9002,12.99,11.9546
16530,24.0,3.9002,12.9922,11.9463
16560,23.9,3.9,12.9905,11.9409
16590,23.9,3.9001,13.0003,11.9607
16620,23.8,3.9001,12.9904,11.9466
16650,24.0,3.9001,13.006,11.9516
16680,24.3,3.9001,12.9966,11.9289
16710,24.0,3.9001,12.9988,11.9188
16740,23.9,3.9002,12.99,11.9155
16770,23.8,3.9,13.0106,11.9097
16800,23.8,3.9,12.9927,11.9011
16830,23.7,3.9001,12.9938,11.8959
16860,23.9,3.9002,12.9918,11.8919
16890,24.1,3.9001,12.991,11.8887
16920,24.2,3.9001,12.9907,11.8882
16950,24.2,3.9002,12.9978,11.8891
16980,23.9,3.9001,12.9911,11.8908
17010,23.8,3.9,13.0061,11.9263
17040,23.8,3.9001,13.0087,11.8768
17070,23.8,3.9001,13.0024,11.8682
17100,23.7,3.9001,12.9929,11.8527
17130,23.8,3.9002,12.9917,11.8447
17160,24.1,3.9,12.9917,11.8499
17190,24.3,3.9002,12.9914,11.916
17220,24.2,3.9002,13.0126,11.8586
17250,24.1,3.9002,12.9928,11.8517
17280,24.0,3.9002,12.997,11.8437
17310,24.0,3.9002,13.0133,11.8338
17340,24.0,3.9,12.9915,11.8356
17370,24.1,3.9,13.0033,11.8999
17400,24.2,3.9001,12.992,11.8332
17430,24.9,3.9,12.9921,11.8313
17460,24.9,3.9,12.9975,11.8303
17490,24.5,3.9001,12.9914,11.8286
17520,24.3,3.9,12.9918,11.8268
17550,24.4,3.9001,12.9947,11.8409
17580,24.4,3.9001,12.9995,11.829
17610,24.3,3.9002,13.0023,11.8244
17640,24.4,3.9001,13.0098,11.8168
17670,24.9,3.9001,12.9919,11.816
17700,24.9,3.9001,12.9983,11.8149
17730,25.0,3.9,13.0096,11.8148
17760,24.6,3.9,13.003,11.8133
17790,24.6,3.9001,12.9917,11.8104
17820,24.6,3.9001,13.0026,11.8061
17850,24.7,3.9001,13.0076,11.811
17880,24.6,3.9001,12.9915,11.8101
17910,24.8,3.9001,12.9915,11.8072
17940,25.0,3.9002,12.9915,11.8051
17970,25.2,3.9002,12.9921,11.8051
18000,25.0,3.9002,12.9914,11.8012
18030,24.7,3.9,12.9981,11.7968
18060,24.5,3.9002,12.9915,11.7979
18090,24.5,3.9,12.9918,11.8471
18120,24.4,3.9,12.9914,11.8174
18150,24.8,3.9001,12.9914,11.7979
18180,25.1,3.9,13.0095,11.8
18210,25.3,3.9002,13.0011,11.8077
18240,25.2,3.9002,12.9914,11.7756
18270,24.6,3.9002,12.9913,11.7689
18300,24.4,3.9002,12.9912,11.7642
18330,24.2,3.9002,12.9912,11.7624
18360,24.2,3.9001,12.9989,11.7595
18390,24.1,3.9002,12.993,11.756
18420,24.7,3.9001,12.9995,11.754
18450,25.0,3.9001,13.0071,11.7537
18480,25.2,3.9,12.9912,11.7523
18510,24.8,3.9001,12.9909,11.7518
18540,24.4,3.9,12.9939,11.7485
18570,24.2,3.9002,13.0097,11.7453
18600,24.0,3.9001,12.9958,11.7442
18630,24.0,3.9001,12.9939,11.7435
18660,24.2,3.9001,12.9922,11.7405
18690,24.7,3.9,12.9986,11.7384
18720,24.8,3.9002,12.9921,11.7386
18750,24.9,3.9,12.9916,11.7449
18780,24.3,3.9002,12.9919,11.7495
18810,24.1,3.9001,12.9919,11.7477
18840,23.9,3.9001,12.9921,11.7477
18870,23.9,3.9,12.9919,11.7476
18900,23.8,3.9,12.9916,11.7462
18930,24.2,3.9002,12.9916,11.7465
18960,24.9,3.9002,12.9965,11.7467
18990,24.9,3.9001,12.9914,11.746
19020,24.9,3.9001,12.9994,11.7449
19050,24.3,3.9001,12.9941,11.7452
19080,24.2,3.9001,13.0096,11.7413
19110,24.1,3.9001,12.9908,11.743
19140,24.0,3.9001,12.9945,11.7456
19170,24.0,3.9001,12.991,11.7387
19200,24.6,3.9002,12.9943,11.7383
19230,24.8,3.9,12.9913,11.7376
19260,24.9,3.9002,12.999,11.7412
19290,24.5,3.9002,12.9997,11.7467
